"Density
(P/Km2)",Agricultural Land( %),Armed Forces size,Co2-Emissions,CPI,Gasoline Price,GDP,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Infant mortality,Minimum wage,Out of pocket health expenditure,Physicians per thousand,Population: Labor force participation (%),Tax revenue (%),Total tax rate,Unemployment rate,Urban_population,Latitude,Longitude,Deforestation_Critical
5.123963979403259,36.0,10.66897865021924,9.72782378340624,4.969257589642278,0.79,25.063302945292136,101.9,21.8,3.139832617527748,0.9555114450274363,55.8,0.35,62.3,10.6,35.2,2.46,15.960382332463618,15.783471,-90.230759,1
3.9889840465642745,59.0,9.472781556562168,8.005367067316664,5.575759691269625,0.9,23.33262080146547,91.5,11.6,4.188138441508461,0.2776317365982795,54.5,0.08,61.5,10.8,69.3,4.3,15.35484912985739,9.945587,-9.696645,1
1.6094379124341005,8.6,8.006700845440367,7.776954403322442,4.763796549270511,0.9,22.177322496775723,97.8,11.6,3.261935314328648,0.6830968447064438,40.5,0.8,56.2,15.97659574468085,30.6,11.85,12.249673176340814,4.860416,-58.93018,0
4.499809670330265,28.9,10.043292972227004,9.191565216649849,5.019528961266375,0.98,23.945950219084345,91.5,26.2,2.778819271990417,0.6981347220709844,49.1,0.31,68.8,17.3,39.1,5.39,15.54298640689811,15.199999,-86.241905,1
4.68213122712422,58.4,10.59665973278358,10.72630242121811,4.809253234563559,1.18,25.80446619046978,100.8,48.5,1.5260563034950496,1.2864740258376797,29.0,3.41,56.5,23.0,37.9,3.4,15.761361133816568,47.162494,19.503304,0
1.3862943611198906,18.7,0.0,7.633369649679584,4.867534450455582,1.69,23.90912395694848,100.4,71.8,0.9162907318741552,2.274391358623264,17.0,4.08,75.0,23.3,31.9,2.84,12.734082766396217,64.963051,-19.020835,0
6.142037405587356,60.4,14.924403485964003,14.694171278847362,5.200925020539387,0.97,28.590754405645924,113.0,28.1,3.4307561839036995,0.262364264467491,65.1,0.86,49.3,11.2,49.7,5.36,19.97043559029229,20.593684,78.96288,1
5.0238805208462765,31.5,13.423949834313948,13.241613780394935,5.025064030748377,0.63,27.74362702291029,106.4,36.3,3.095577608523707,0.3920420877760237,48.3,0.43,67.5,10.2,30.1,4.69,18.83616037227266,-0.789275,113.921327,0
3.970291913552122,28.2,13.241036683319184,13.402584183709642,6.313421226641622,0.4,26.82211573313171,110.7,68.1,2.5952547069568657,0.947789398933526,39.7,1.58,44.7,7.4,44.7,11.38,17.95083108685231,32.427908,53.688046,0
4.543294782270004,21.4,12.250094315624496,12.155105613702679,4.794632850933413,0.61,26.178988764472773,108.7,16.2,3.157000421150113,0.8064758658669485,76.5,0.71,43.0,2.0,30.8,12.82,17.139948162235395,33.223191,43.679291,1
5.332718793265369,43.2,12.757082940769225,12.677362946658508,4.715100245360287,1.61,28.3247902990263,101.9,61.9,1.280933845462065,2.274391358623264,22.8,3.98,49.6,24.3,59.1,9.89,17.568583950416446,41.87194,12.56738,0
5.613128106388071,41.0,8.294299608857235,9.015055148790369,5.096629487263117,1.11,23.524081836324523,91.0,27.1,2.5952547069568657,0.8458682675776092,23.7,1.31,66.0,26.8,35.1,8.0,14.31664638693463,18.109581,-77.297508,0
4.7535901911063645,12.0,11.661354090741,10.130981626587596,4.841032509710076,1.1,24.501612570066907,81.5,34.4,2.7013612129514133,0.9122827104766162,25.1,2.32,39.3,15.1,28.6,14.72,16.036131406648508,30.585164,36.238414,0
2.079441541679836,80.4,11.170449240431308,12.417985366501567,5.213576138092946,0.42,25.917120846488025,104.4,61.7,2.2823823856765264,0.3435897043900768,38.8,3.25,68.8,11.7,28.4,4.59,16.181344215459458,48.019573,66.923684,1
5.484796933490655,8.4,10.12667110305036,11.50019477249141,4.848900370910689,0.35,25.6267701523508,92.4,54.4,2.0412203288596382,0.6678293725756554,14.4,2.58,73.5,1.4,13.0,2.18,15.252280329095456,29.31166,47.481766,0
3.4339872044851463,31.1,8.699681400989514,8.854379458771108,4.769497479409767,1.16,24.253067567814757,99.4,88.1,1.458615022699517,1.33500106673234,41.6,3.19,61.4,22.9,38.1,6.52,14.081670685940797,56.879635,24.603189,0
6.504288173536645,64.3,11.289794413577894,10.118477957093951,4.87534998330373,0.74,24.700459206476065,95.1,26.3,2.0014800002101243,1.1474024528375415,32.1,2.1,47.0,15.3,32.2,6.23,15.62133646271074,33.854721,35.862285,0
1.6094379124341005,8.7,0.0,10.83101491633627,4.841901010810817,0.11,24.67597484586925,109.0,60.5,2.4159137783010487,1.0577902941478543,36.7,2.09,49.7,15.97659574468085,32.6,18.56,15.510868885839136,26.3351,17.228331,0
5.476463551931511,32.2,10.357774570341576,3.9512437185814275,4.82655218668264,1.74,22.603167240232438,104.7,35.6,1.1631508098056818,2.155476227955833,32.097058823529416,2.067961165048544,62.055,15.97659574468085,21.6,5.375,8.60611940061064,47.1410392,9.520935,0
3.784189633918261,47.2,10.434145214930489,9.469931564261438,4.782311682740504,1.16,24.71630305830724,103.9,72.4,1.458615022699517,1.2267122912954254,32.1,6.35,61.6,16.9,42.6,6.35,14.452623751103406,55.169438,23.881275,0
3.8918202981106265,71.2,9.99884318585288,8.270269111436624,5.222138019809218,1.11,23.36829858939576,142.5,5.4,3.6686767467964168,0.1906203596086497,21.7,0.18,86.1,10.2,38.3,1.76,16.13896143838962,-18.766947,46.869107,1
5.318119993844216,61.4,9.61587214452889,7.1693500166706,6.038682046717093,1.15,22.760152689586626,142.5,0.8,3.591817741270805,0.1133286853070032,11.0,0.04,76.7,17.3,34.5,5.65,14.978443218977237,-13.254308,34.301525,1
2.8903717578961645,33.8,9.798182590890704,8.064636475774222,4.698022803002708,1.12,23.586046045576037,75.6,4.5,4.143134726391533,0.2070141693843261,46.3,0.13,70.8,11.6,54.5,7.22,15.953184332567258,17.570692,-3.996166,1
7.2305631534092925,32.4,7.601402334583733,7.202661196523238,4.740138046398576,1.36,23.41695721269021,105.0,54.3,1.9600947840472696,1.803358605071407,37.1,2.86,56.5,26.2,44.0,3.47,13.072969330934678,35.937496,14.375416,0
6.440946540632921,42.4,8.006700845440367,8.37793112408273,4.874510064192008,1.12,23.375129708616782,101.1,40.6,2.681021528714291,0.3220834991691132,50.7,2.53,58.3,19.1,22.2,6.67,13.153825222080338,-20.348404,57.552152,0
